Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
1158.0,2162.0,232.0,0.0,258.0,1337.0,3476.0,0.0,0
1158.0,2162.0,232.0,0.0,258.0,1337.0,3476.0,0.0,1
1018.0,2121.0,223.0,0.0,202.0,3954.0,3488.0,0.0,2
896.0,2095.0,220.0,0.0,172.0,3572.0,3578.0,0.0,3
0.0,2818.0,214.0,0.0,135.0,3252.0,3647.0,0.0,4
0.0,2733.0,106.0,101.0,95.0,2919.0,3574.0,3.0,5
77.0,2700.0,0.0,213.0,81.0,2734.0,3522.0,2.0,6
120.0,2670.0,0.0,208.0,59.0,2429.0,3324.0,3.0,7
192.0,2627.0,0.0,185.0,46.0,2220.0,3242.0,8.0,8
318.0,2629.0,0.0,189.0,41.0,4394.0,3170.0,8.0,9
443.0,2624.0,0.0,195.0,33.0,3871.0,3060.0,5.0,10
458.0,1714.0,928.0,168.0,28.0,3375.0,2919.0,5.0,11
375.0,262.0,1546.0,790.0,20.0,2979.0,2790.0,7.0,12
365.0,396.0,0.0,1488.0,200.0,2615.0,2665.0,33.0,13
974.0,466.0,0.0,1282.0,117.0,2268.0,2579.0,43.0,14
1780.0,521.0,0.0,1232.0,113.0,1910.0,2441.0,49.0,15
1781.0,632.0,0.0,1180.0,82.0,4169.0,2343.0,58.0,16
1781.0,1082.0,42.0,1111.0,53.0,3599.0,2236.0,62.0,17
1780.0,1650.0,29.0,1049.0,49.0,3170.0,2132.0,55.0,18
1779.0,1768.0,52.0,967.0,37.0,2696.0,1944.0,59.0,19
1751.0,2109.0,109.0,926.0,45.0,2326.0,1764.0,56.0,20
1781.0,2502.0,122.0,908.0,66.0,1957.0,1667.0,63.0,21
1780.0,2671.0,73.0,884.0,73.0,1613.0,1558.0,61.0,22
1763.0,3030.0,52.0,831.0,67.0,3842.0,1428.0,48.0,23
1759.0,3383.0,100.0,779.0,54.0,3248.0,1345.0,60.0,24
1761.0,3223.0,426.0,794.0,77.0,2898.0,1159.0,69.0,25
1759.0,3088.0,541.0,853.0,127.0,2408.0,1057.0,85.0,26
1764.0,3337.0,193.0,898.0,199.0,2095.0,997.0,101.0,27
1780.0,3216.0,410.0,847.0,147.0,1785.0,963.0,108.0,28
1781.0,3124.0,478.0,950.0,176.0,1459.0,866.0,129.0,29
1779.0,3278.0,269.0,993.0,260.0,3775.0,838.0,139.0,30
1776.0,3211.0,386.0,960.0,221.0,3264.0,786.0,142.0,31
1774.0,3146.0,432.0,980.0,223.0,2842.0,733.0,157.0,32
1761.0,3278.0,294.0,1008.0,201.0,2454.0,683.0,171.0,33
1780.0,3180.0,411.0,952.0,205.0,2070.0,620.0,169.0,34
1780.0,3125.0,437.0,1024.0,203.0,1770.0,585.0,182.0,35
1781.0,3211.0,303.0,1022.0,239.0,1493.0,527.0,208.0,36
1780.0,3208.0,387.0,999.0,210.0,3823.0,509.0,212.0,37
1781.0,3162.0,420.0,967.0,222.0,3343.0,480.0,198.0,38
1781.0,3194.0,321.0,972.0,226.0,2779.0,485.0,228.0,39
1781.0,3156.0,369.0,954.0,214.0,2350.0,460.0,222.0,40
1780.0,3155.0,393.0,962.0,232.0,2037.0,426.0,230.0,41
1781.0,3212.0,333.0,997.0,240.0,1744.0,448.0,239.0,42
1781.0,3189.0,376.0,1026.0,208.0,1490.0,395.0,246.0,43
1780.0,3196.0,370.0,1040.0,204.0,3788.0,392.0,243.0,44
1780.0,3216.0,369.0,1036.0,204.0,3276.0,387.0,245.0,45
1767.0,3206.0,396.0,1017.0,211.0,2781.0,385.0,236.0,46
1777.0,3226.0,361.0,1060.0,245.0,2369.0,356.0,229.0,47
1776.0,3278.0,334.0,1047.0,244.0,2049.0,346.0,237.0,48
1781.0,3256.0,388.0,1040.0,236.0,1672.0,340.0,253.0,49
1780.0,3266.0,375.0,1107.0,216.0,1418.0,322.0,266.0,50
1780.0,3261.0,370.0,1080.0,228.0,3757.0,327.0,240.0,51
1780.0,3251.0,374.0,1028.0,226.0,3173.0,338.0,235.0,52
1774.0,3252.0,394.0,1025.0,230.0,2732.0,362.0,219.0,53
1778.0,3224.0,386.0,1024.0,202.0,2361.0,372.0,222.0,54
1780.0,3207.0,378.0,1052.0,222.0,2029.0,349.0,237.0,55
1780.0,3224.0,380.0,1020.0,195.0,1713.0,331.0,244.0,56
1781.0,3244.0,355.0,1011.0,236.0,1404.0,333.0,259.0,57
1781.0,3249.0,376.0,1063.0,227.0,3807.0,355.0,247.0,58
1780.0,3245.0,380.0,1055.0,242.0,3375.0,371.0,255.0,59
1780.0,3243.0,379.0,1063.0,225.0,2894.0,380.0,244.0,60
